"subID","cond","n_w","n_s","width_bias","spacing_bias","width_sd","spacing_sd","width_se","spacing_se","rmse_width","rmse_spacing","bias_total","sd_total","rmse_total"
"710","Non-RM",150,150,-0.0822727272727272,0.116611854892454,0.412158605073046,0.341538036428509,0.0336526091842083,0.0278864639000647,0.420289801671004,0.360896875892408,0.142713441393414,0.535278381838087,0.553976599160607
"710","RM",139,139,0.161396337475474,0.485754659471122,0.504790871482311,0.387140158727611,0.0428158028994802,0.0328367996867306,0.529964717393874,0.621156253850466,0.511865575076506,0.636153539981907,0.81651558061063
"711","Non-RM",183,183,-0.0900645802285147,-0.0480289152597183,0.18731912629116,0.291258439566028,0.0138470282611051,0.0215304433872245,0.207846298225929,0.295191895755055,0.10207058985214,0.346294576470555,0.361024014444586
"711","RM",124,124,0.00694648093841639,0.182545754074506,0.207540142070712,0.272397315520482,0.018637654949645,0.0244620010626694,0.207656360769804,0.327907379961773,0.18267787476336,0.342451760213751,0.388129377916119
"712","Non-RM",172,172,0.0247225158562368,0.0857753852684203,0.205476970699513,0.206855916650578,0.0156674721339751,0.0157726157770268,0.206958904805061,0.223934782852724,0.0892671244535625,0.291565011174522,0.304924212304315
"712","RM",41,41,0.0833148558758315,0.563506429876831,0.242970176465929,0.42613771088694,0.0379455664854226,0.0665515293918127,0.256857687954819,0.706493344025613,0.569632216190536,0.490538332133021,0.751737132922133
"713","Non-RM",249,249,-0.0353596202993793,0.0473843383626261,0.237707634792333,0.266782443710065,0.0150641092702717,0.0169066504193249,0.240323162400717,0.270957833977867,0.0591234155794481,0.357320293169138,0.362178644014606
"713","RM",54,54,-0.0015993265993266,0.261890250430467,0.26422408525455,0.371233207767857,0.0359563437015161,0.0505184408115479,0.264228925506227,0.454313325602657,0.261895133815243,0.45566266226038,0.525564004564926
"714","Non-RM",167,167,-0.0502041371801851,0.00192756068005207,0.294378551529868,0.348646749764499,0.0227796962333559,0.0269790954915285,0.298628844874084,0.348652078168946,0.0502411273776985,0.45630394226017,0.459061497625704
"714","RM",131,131,-0.0145211658570438,0.352308998634143,0.283646305595981,0.387592475051317,0.0247822927856125,0.0338641117783628,0.284017765176928,0.523783884092474,0.352608132033906,0.4802948608872,0.595831895899418
"715","Non-RM",205,205,-0.00360310421286035,-0.146181742311098,0.273500730146627,0.302651571506586,0.0191021195849504,0.0211381026602472,0.27352446280124,0.336105750502002,0.146226140430078,0.407922324868527,0.433339021173054
"715","RM",92,92,0.0553853754940711,0.0209161295288271,0.33503475607676,0.337385411825619,0.0349297879260503,0.0351748607291119,0.33958184226786,0.33803313533914,0.0592032456296606,0.47547576583056,0.479147397139172
"716","Non-RM",79,79,-0.114470655926352,-0.168960951198855,0.219328576639055,0.185038868599798,0.0246763927903926,0.0208184992262673,0.24740362891179,0.250573713550953,0.204086584807114,0.286957152591126,0.352130290548027
"716","RM",210,210,0.0401948051948052,0.0633206607140967,0.196245835022362,0.220945105957162,0.0135422491913313,0.0152466608126285,0.200319869529391,0.229839609118384,0.0750008562478995,0.295515088633467,0.304884069849449
"717","Non-RM",136,136,-0.194050802139037,-0.147434923527552,0.225003155918337,0.206070137853203,0.0192938614462971,0.0176703685409731,0.297123095675876,0.253381053732148,0.243706320160925,0.305108705034861,0.390492115636704
"717","RM",160,160,-0.160553977272727,0.101658501302364,0.24079462458483,0.247792667535617,0.019036486550331,0.0195897304225353,0.289412561660755,0.267835130204123,0.190031656586828,0.345518823385016,0.394328908169944
"718","Non-RM",243,243,-0.155190796857464,-0.0931413221786964,0.251051057384808,0.229110535368357,0.0161049328401621,0.0146974476965667,0.295145416436178,0.247319516645918,0.180995826820538,0.339879788794222,0.385068513588498
"718","RM",43,43,-0.0540169133192389,0.15048919548414,0.22876395900516,0.272156979727911,0.0348861766919134,0.0415035503145461,0.235054835866554,0.310992635880791,0.159890039971231,0.35553111052949,0.389829700556967
"719","Non-RM",147,147,-0.149196042053185,-0.0530904108330752,0.237914582218269,0.30813617899721,0.0196228640125507,0.0254146436987288,0.280825225712415,0.31267634469116,0.158360508608556,0.389295842822774,0.420272892209162
"719","RM",146,146,-0.0717777085927771,0.199808795558228,0.308430369810541,0.321292952952079,0.025525879027901,0.0265903939829584,0.316672279292484,0.378355278011417,0.212310136906507,0.445374510539315,0.493390361550967
"720","Non-RM",208,208,-0.237991695804196,-0.22858273253252,0.1903315568677,0.206957599068428,0.0131971189927958,0.0143499276016949,0.304739476949474,0.308352904030758,0.329985019180857,0.281171743516042,0.433529309546242
"720","RM",97,97,-0.262136832239925,-0.0670632926194492,0.161088275576428,0.322617162217589,0.0163560362854514,0.0327568098463919,0.307677024402164,0.329513760826906,0.270579385825573,0.360598482921819,0.450826429925378
"702","1-bar",3,NA,-0.0833333333333333,NA,0.144337567297406,NA,0.0833333333333333,NA,0.166666666666667,NA,NA,NA,NA
"704","1-bar",18,NA,-0.0656565656565657,NA,0.19624713209416,NA,0.046255892630731,NA,0.206938931738322,NA,NA,NA,NA
"705","1-bar",18,NA,-0.026010101010101,NA,0.218194660693534,NA,0.0514289747316987,NA,0.219739471442257,NA,NA,NA,NA
"706","1-bar",18,NA,0.15770202020202,NA,0.20623505807441,NA,0.048610069360939,NA,0.259620543013749,NA,NA,NA,NA
"707","1-bar",18,NA,0.0356060606060606,NA,0.365922791785214,NA,0.0862488291540127,NA,0.367651031685983,NA,NA,NA,NA
"708","1-bar",18,NA,-0.0588383838383838,NA,0.257135515564581,NA,0.060607422246538,NA,0.263781403395644,NA,NA,NA,NA
"709","1-bar",18,NA,0.217929292929293,NA,0.438342139614418,NA,0.103318233133725,NA,0.489527331288466,NA,NA,NA,NA
"710","1-bar",18,NA,0.0214646464646465,NA,0.379021318442156,NA,0.0893361814949049,NA,0.379628622315919,NA,NA,NA,NA
"711","1-bar",18,NA,-0.034469696969697,NA,0.167853143935474,NA,0.039563365440085,NA,0.171355880955996,NA,NA,NA,NA
"712","1-bar",18,NA,-0.00479797979797981,NA,0.230110477483948,NA,0.0542375596836581,NA,0.230160492826272,NA,NA,NA,NA
"713","1-bar",18,NA,0.106818181818182,NA,0.293180263644679,NA,0.069103250844404,NA,0.312033317063588,NA,NA,NA,NA
"714","1-bar",18,NA,-0.0611111111111111,NA,0.323161838255949,NA,0.0761699757504972,NA,0.32888925431853,NA,NA,NA,NA
"715","1-bar",18,NA,0.321843434343434,NA,0.400178571960141,NA,0.0943229939728549,NA,0.513542681464778,NA,NA,NA,NA
"716","1-bar",18,NA,-0.149242424242424,NA,0.223790162757459,NA,0.0527478472162136,NA,0.26898947589221,NA,NA,NA,NA
"717","1-bar",18,NA,-0.228282828282828,NA,0.161436532119167,NA,0.0380509555309011,NA,0.279597574366213,NA,NA,NA,NA
"718","1-bar",18,NA,-0.0723484848484848,NA,0.233986724648256,NA,0.0551511999021371,NA,0.244916497140332,NA,NA,NA,NA
"719","1-bar",18,NA,-0.0859848484848485,NA,0.225582282793132,NA,0.0531702539595216,NA,0.241414085088511,NA,NA,NA,NA
"720","1-bar",18,NA,-0.205808080808081,NA,0.176284821379488,NA,0.0415507308725652,NA,0.270985801057368,NA,NA,NA,NA
