Model,k,alpha,a1,gamma,SSE,LL,AIC,BIC,RMSE,Participant,n
Linear Compression + Partial Pooling,3,1.1641265179928588,-0.6275719005009843,0.2185923693310583,1.3247825914065312,451.4133544841293,-894.8267089682586,-879.5701868409583,0.06288541086548603,p311,335
Null,0,NA,NA,NA,10.207500000000001,127.07970380113426,-252.15940760226852,-248.28447687141647,0.16933030682364208,p312,356
Perfect Pooling,0,NA,NA,NA,12.457552083333335,91.62134056654821,-181.24268113309643,-177.36775040224438,0.1870644910975571,p312,356
Partial Pooling,1,NA,NA,-0.35831399738966185,10.086991165955094,129.1936591996843,-254.3873183993686,-246.63745693766455,0.16832778988684094,p312,356
Compression + Pooling,1,0.8400838649293421,NA,NA,10.697200265854752,118.73874740055254,-233.47749480110508,-225.72763333940102,0.17334449905758356,p312,356
Compression + Partial Pooling,2,0.920977434478247,NA,-0.06302011456367826,9.803054182378126,134.27602233801287,-262.55204467602573,-250.92725248346963,0.16594176403673655,p312,356
Linear Compression + Partial Pooling,3,1.445242456766905,-1.1273814108530074,-0.11614220485645722,8.903005359274882,151.41832797215733,-294.83665594431466,-279.33693302090654,0.15814057676774504,p312,356
Null,0,NA,NA,NA,2.305000000000001,642.5038683537796,-1283.0077367075592,-1278.7851604394878,0.0676270116034466,p313,504
Perfect Pooling,0,NA,NA,NA,2.4017534722222234,632.1420296478652,-1262.2840592957305,-1258.061483027659,0.06903175988961018,p313,504
Partial Pooling,1,NA,NA,0.05706723160810672,2.3047373392490518,642.5325860461078,-1281.0651720922156,-1272.6200195560727,0.06762315835665375,p313,504
Compression + Pooling,1,0.9185388907630769,NA,NA,1.8461307227562915,698.4450280149881,-1392.8900560299762,-1384.4449034938334,0.06052237423669539,p313,504
Compression + Partial Pooling,2,0.9218020769289497,NA,0.3404329204355909,1.8032141149342211,704.372384438125,-1402.74476887625,-1390.0770400720357,0.059814762254811686,p313,504
Linear Compression + Partial Pooling,3,1.1510904447025152,-0.4948207385442288,0.16514546945252753,1.5538323923456734,741.8816524140386,-1475.7633048280773,-1458.8729997557919,0.05552477625766391,p313,504
Null,0,NA,NA,NA,4.847500000000001,419.0316633494384,-836.0633266988768,-831.8937159663853,0.10070359173893124,p314,478
Perfect Pooling,0,NA,NA,NA,9.668628472222224,254.02048078854705,-506.0409615770941,-501.87135084460266,0.14222255875225323,p314,478
Partial Pooling,1,NA,NA,-0.11813924410474833,4.809861423875237,420.8946287799207,-837.7892575598414,-829.4500360948585,0.10031187167063203,p314,478
Compression + Pooling,1,0.7916822915004261,NA,NA,5.254618543117457,399.75767463646514,-795.5153492729303,-787.1761278079474,0.1048471545747497,p314,478
Compression + Partial Pooling,2,0.890895687528051,NA,0.2307784200451799,4.194178663970908,453.6306361722783,-901.2612723445566,-888.7524401470822,0.0936719400429156,p314,478
Linear Compression + Partial Pooling,3,0.7050132234727166,0.40243344901355504,0.23795008768018946,4.025531320810542,463.4393453420099,-918.8786906840198,-902.200247754054,0.09176935023123492,p314,478
Null,0,NA,NA,NA,3.410000000000001,432.82862579649736,-863.6572515929947,-859.5888260047507,0.08884547550955266,p315,432
Perfect Pooling,0,NA,NA,NA,7.165781250000002,272.42598877489104,-542.8519775497821,-538.783551961538,0.12879230022490562,p315,432
Partial Pooling,1,NA,NA,-0.2695676112123892,3.2905851081411956,440.5283557452242,-877.0567114904484,-868.9198603139602,0.0872759712505925,p315,432
